""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.0229419703103914	0.0288743524590395	0.21856449001619	0.0460746114671339	0.99429492261108	0.00115960637580269	0.871133895191849	0.0255438991545253	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0.0279424216765453	0.031981383267036	0.23313293253173	0.0401983275016791	0.995039605246072	0.000946265165320547	0.86109620862202	0.0235049097485128	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0.010977522216414	0.0172374725395328	0.225859247135843	0.037377880059457	0.992561822548192	0.00116593174641334	0.871594978626258	0.0212891973578678	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	0.267796610169492	0.171225897864566	0.883432271991365	0.045106772981674	0.977699515263356	0.00158017163352869	0.286555574932075	0.0303905298652588	28.3539370663477	10.041755992857
"minmax_ulk_hbss/dko_hbss.Exp"	0.908490566037736	0.0312928920543226	0.870407481629927	0.0361611978761902	0.958070380470069	0.00771724052223638	0.0878290750445397	0.0297285871762	34.9417236895185	11.5011419798044
"minmax_ulk_hbss/ulk_dmem.Exp"	0.813096862210096	0.16412457940057	0.775777414075286	0.218033728617405	0.944440838579866	0.0124263221109957	0.176111025960151	0.195030098733999	184.665135342568	112.918963011564
"gaussian_ulk_dmem/dko_hbss.Exp"	0.157635467980296	0.0514522930596422	0.169454937938478	0.0505037999930806	0.992176636473508	0.00163818750009749	0.832427546245976	0.0326138560563478	1.5068984978042	0.326752725013556
"gaussian_ulk_hbss/dko_hbss.Exp"	0.256880733944954	0.0378595188270144	0.188376753507014	0.0548302592628587	0.990884300740164	0.00145204362788936	0.771999975732822	0.0372354485185682	1.71421528923564	0.355717329238749
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.158987131589871	0.0637694552812301	0.171031096563011	0.0448403393821586	0.989602128902447	0.00295974744659162	0.829602724094045	0.047558685293805	6.15058163905913	3.78488300801733
"knn_ulk_dmem/dko_hbss.Exp"	0.119047619047619	0.043843890381726	0.0814894765245548	0.0463162739049833	0.995048668598682	0.000835002173521819	0.897007923624671	0.0183416832906088	0.900356847640248	0.0601669358822392
"knn_ulk_hbss/dko_hbss.Exp"	0.142307692307692	0.0636592587029453	0.106212424849699	0.0389574704981099	0.995052590572653	0.00159887666568996	0.873038299735859	0.0341503249432962	0.966427307359651	0.0351193848468835
"knn_ulk_hbss/ulk_dmem.Exp"	0.0634005763688761	0.0279013458750481	0.0691489361702128	0.0249254465054577	0.995807100668527	0.00138496933500605	0.931556201130927	0.0218993255429094	0.961853467988152	0.100018712003773
"mle_ulk_dmem/dko_hbss.Exp"	0.171950564212789	0.0467237925182613	0.168375607123583	0.0553037499491835	0.991786767859231	0.00177416403225522	0.825626924043739	0.0365558486794476	1.53109547576592	0.352457053032883
"mle_ulk_hbss/dko_hbss.Exp"	0.275044457617072	0.0329153339383277	0.183032732130929	0.059751531229613	0.990416828983249	0.00135216543059939	0.764761961049509	0.0343972457865818	1.7311268742087	0.365576940609041
"mle_ulk_hbss/ulk_dmem.Exp"	0.158743282348078	0.0551075990875148	0.167348608837971	0.0484884971858134	0.989705977802298	0.00285890124508928	0.831629033404267	0.0471083206937834	5.68946632010375	3.00992097904023
"rf_ulk_dmem/dko_hbss.Exp"	0.0692389006342495	0.0341954038741275	0.0496492174851592	0.033054693544215	0.997101976633874	0.000807017666486003	0.939022442701909	0.0166391068587429	0.805004027224663	0.104244039737021
"rf_ulk_hbss/dko_hbss.Exp"	0.0948952879581152	0.0492013689417981	0.0761523046092184	0.0319795148428008	0.99663680041553	0.00116787047567764	0.912714927875359	0.0266117610534322	0.955976821852996	0.0509902915791058
"rf_ulk_hbss/ulk_dmem.Exp"	0.0537590945836702	0.0274646729876911	0.0421440261865794	0.0141415201178369	0.996936457454404	0.00107813309424233	0.950449664625229	0.0162691186084591	0.875295841228205	0.088753216622644
