""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.0151975683890578	0.0347802296183971	0.561470787277239	0.027908442066465	0.976764779131654	0.00140270789223562	0.64910134575709	0.0236484066706332	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0	0	0.559834368530021	0.0277276566708785	0.975140432652086	0.00186648154054828	0.654984859170511	0.0211844644319406	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0	0	0.544959128065395	0.11541199944056	0.998054796385812	0.000533418825995546	0.67390970073972	0.0827325726444468	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	0.0214592274678112	0.0440724078274531	0.942583732057416	0.0332506035500059	0.961591277079789	0.00262249794654149	0.232220437840047	0.0695973184144909	3.84348846568486	0.14981007999716
"minmax_ulk_hbss/dko_hbss.Exp"	0.0119047619047619	0.0233028802347425	0.948447204968944	0.0215711233462083	0.957856413933861	0.00214004268077625	0.220761253551655	0.0467823693334693	4.50222304284017	0.173081105658109
"minmax_ulk_hbss/ulk_dmem.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	5.0913981750643	0.390039932498222
"gaussian_ulk_dmem/dko_hbss.Exp"	0.0262201453790239	0.0111121495109959	0.153846153846154	0.0397062446646384	0.99277761892024	0.00148106345510943	0.904162036008996	0.0214079223044277	1.00404731792421	0.0168432265953155
"gaussian_ulk_hbss/dko_hbss.Exp"	0.035072526520892	0.0126119897421685	0.0772256728778468	0.0135717803613595	0.995081409566888	0.000799539456873233	0.941067071412115	0.0101746159779454	1.0942014147692	0.0305463031584593
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.211111111111111	0.0938866010731457	0.226158038147139	0.070028083338886	0.99845356312672	0.000526850426316409	0.780553535932284	0.0641047815242103	1.17233263061078	0.0263064427144752
"knn_ulk_dmem/dko_hbss.Exp"	0.108288770053476	0.0940845966026716	0.0972253552898714	0.0873511981933042	0.991541604789093	0.0034651415169649	0.892816795131746	0.0356872269408082	0.714334304368721	0.0157351994289902
"knn_ulk_hbss/dko_hbss.Exp"	0.0224521241470394	0.0129801774877534	0.0805383022774327	0.0421554075825025	0.99548592915391	0.00170192112396995	0.945743401628387	0.0211266476471234	0.747318758162072	0.0304146682944788
"knn_ulk_hbss/ulk_dmem.Exp"	0.072463768115942	0.0742891413287505	0.302452316076294	0.0880250870439581	0.998725891632707	0.000420252078333948	0.803781562089811	0.0611560883236959	0.86381217605711	0.019470857591929
"mle_ulk_dmem/dko_hbss.Exp"	0.032032032032032	0.0171942854412681	0.127453191969321	0.0331094283198918	0.99360777766504	0.00113461295939242	0.915800797013465	0.0162968116563995	0.931727591574792	0.0155480139084639
"mle_ulk_hbss/dko_hbss.Exp"	0.0386483632523759	0.0134575350668229	0.0575569358178054	0.0135794093638695	0.995761737963244	0.000871999143889133	0.949638334585712	0.0107079093636009	1.03105186538216	0.0278982165790029
"mle_ulk_hbss/ulk_dmem.Exp"	0.259445843828715	0.0953405529604873	0.198910081743869	0.0847120360793531	0.998288220819514	0.000553241473313136	0.769373561564982	0.0753579753908945	1.13598090989565	0.0249859422660301
"rf_ulk_dmem/dko_hbss.Exp"	0.055742863564846	0.0206723527880484	0.0523347620121814	0.0188143903484339	0.9955724866944	0.00104659975323214	0.943651476252822	0.0139648843033587	0.668593561727962	0.0169477227221751
"rf_ulk_hbss/dko_hbss.Exp"	0.0277190012695726	0.0135629596712528	0.0486542443064182	0.0156786648022483	0.996635132526133	0.000844048291801962	0.960002139098491	0.0107448404382833	0.713259606794081	0.0175615764587733
"rf_ulk_hbss/ulk_dmem.Exp"	0.153846153846154	0.112679018531961	0.190735694822888	0.103262895169723	0.998793973759203	0.000552884813629505	0.826900003990713	0.0700949116491016	0.819220062736105	0.0133607960091665
