""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.0229419703103914	0.0288743524590395	0.411382113821138	0.0412366794396668	0.989811026690045	0.000944097218762439	0.75425342601838	0.0258461875189311	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0.0279424216765453	0.031981383267036	0.42020202020202	0.0479860932102272	0.99157084389008	0.000804500046269635	0.747345624730462	0.0277048092479923	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0.010977522216414	0.0172374725395328	0.423170731707317	0.0370847390909827	0.986269732995517	0.00115122860554141	0.749893838276304	0.0241641645851888	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	0	0	0.985365853658537	0.00425323872992353	0.976388077147867	0.0001019186370116	0.119534450235794	0.018346848683864	23.5594880926412	7.1611877266593
"minmax_ulk_hbss/dko_hbss.Exp"	0.036144578313253	0.070735663885204	0.919191919191919	0.0212386861833474	0.982206197622296	0.0004339569381088	0.276397217656896	0.0389025522061543	27.6218552573414	8.23665628309984
"minmax_ulk_hbss/ulk_dmem.Exp"	0.02734375	0.0371590277081481	0.848170731707317	0.0732749578613032	0.972753849152212	0.00215786651370684	0.378692171887851	0.0877619904303268	162.638965392963	96.9739503456062
"gaussian_ulk_dmem/dko_hbss.Exp"	0.496193461710703	0.0427890061682378	0.542682926829268	0.0434127750696146	0.976203000194818	0.00176446198093445	0.467863300128461	0.0343243985828841	1.47642933828607	0.235929775996669
"gaussian_ulk_hbss/dko_hbss.Exp"	0.64845292955892	0.0463585781026541	0.73030303030303	0.0465892972380309	0.976310660689924	0.00196271123188109	0.296062656878751	0.0383195032256096	1.53913035797564	0.274873032731679
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.256641366223909	0.0493363447259674	0.522256097560976	0.0611126508798381	0.978035470668486	0.00225348743416634	0.585694044552795	0.0504016165502812	5.14182095553679	2.5579995244072
"knn_ulk_dmem/dko_hbss.Exp"	0.681562280084448	0.113297366885719	0.264227642276423	0.0425732641825762	0.955932203389831	0.015110844227087	0.466168969771218	0.0727463629128035	1.05045454980268	0.0436192748287073
"knn_ulk_hbss/dko_hbss.Exp"	0.532918800292612	0.239547417089752	0.355050505050505	0.16334386864661	0.978951471448061	0.00874225225720584	0.538557713224338	0.122171241433765	1.06730280389808	0.0822246702442889
"knn_ulk_hbss/ulk_dmem.Exp"	0.614220877458396	0.240060445556476	0.378048780487805	0.252162754320912	0.95626583511986	0.0167573344448722	0.468844735653686	0.115113047009733	1.12638981367788	0.10917915733027
"mle_ulk_dmem/dko_hbss.Exp"	0.267447535383114	0.0505403728792855	0.389837398373984	0.0488143513895222	0.985320475355543	0.00158935143446206	0.661215508452691	0.0377822158214487	NA	NA
"mle_ulk_hbss/dko_hbss.Exp"	0.414096916299559	0.0437696456146681	0.462626262626263	0.067688272169983	0.983745858507113	0.00149152227391246	0.552861441463433	0.0497718774661525	NA	NA
"mle_ulk_hbss/ulk_dmem.Exp"	0.208350388866148	0.076081214670123	0.410365853658537	0.0529766156638471	0.981923601637108	0.00330435800085993	0.674443301271357	0.0595787434053642	NA	NA
"rf_ulk_dmem/dko_hbss.Exp"	0.564966535887376	0.126584907876797	0.233739837398374	0.0689797235969883	0.970553282680694	0.00695201514815142	0.564253805728784	0.0539456930524777	0.971293218057566	0.0305396134357558
"rf_ulk_hbss/dko_hbss.Exp"	0.53045439896874	0.110030025042728	0.264141414141414	0.0553521965557527	0.978863769245761	0.00650811780655279	0.577977789428267	0.0724166028355248	1.00233583944842	0.0213197118599543
"rf_ulk_hbss/ulk_dmem.Exp"	0.437528499772002	0.0519489388356637	0.247865853658537	0.0220539423621354	0.973377509257455	0.00374693651733847	0.637278255868746	0.0293380101782684	0.997907905694364	0.0263158924032443
