""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.0322099241387887	0.0297245086419875	0.216156325543916	0.205092910140524	0.965942080294555	0.0015521024982148	0.853070883564483	0.0243765515444635	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0.0187832912811887	0.0218039928643058	0.668842842274576	0.0163759230646369	0.949598468742716	0.00129465921333336	0.554526735591639	0.0150135400884706	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0.0798969072164949	0.0796226634769745	0.667494566904688	0.0379887609737788	0.984127995018327	0.00145241168822704	0.547931794593299	0.0386038389943239	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	0.333333333333333	NA	0.994444444444444	NA	0.948925878503343	NA	0.0576914508124939	NA	3.85590741548789	0.130515027803733
"minmax_ulk_hbss/dko_hbss.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	4.50771869972509	0.0998214457115626
"minmax_ulk_hbss/ulk_dmem.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	5.15041476547726	0.391184340150902
"gaussian_ulk_dmem/dko_hbss.Exp"	0.0292036392227339	0.0181012782221667	0.129431909750201	0.124417038471073	0.978120795864901	0.00153488505938193	0.907164235919987	0.0204033138637982	1.11453978958977	0.0135419878591511
"gaussian_ulk_hbss/dko_hbss.Exp"	0.162260456007833	0.0177959755757343	0.433342794966411	0.0249178016184825	0.959458409554819	0.00210329821127285	0.669544714895262	0.0168174730010888	1.18392832881995	0.0159323379606524
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.158163265306122	0.0441638165930681	0.487736727724309	0.0421254518316124	0.986689593682333	0.000967352562892008	0.650847743164431	0.0303038636432837	1.23987963123234	0.0181842195045984
"knn_ulk_dmem/dko_hbss.Exp"	0.111105753001881	0.123763870172443	0.0716659951651894	0.0810682014136644	0.973610422714721	0.00733173553745999	0.893072179613131	0.0488922801899527	0.770862693929104	0.0252948477351464
"knn_ulk_hbss/dko_hbss.Exp"	0.216578047854159	0.0512866946927232	0.219320654745009	0.0618606144815758	0.967517286679898	0.00330525738515334	0.764500593301435	0.0238191591813281	0.821416746146827	0.0506037624153041
"knn_ulk_hbss/ulk_dmem.Exp"	0.555577610162763	0.186376781735959	0.30487426265135	0.128383404028823	0.973244738816004	0.0153947245809796	0.543193217968744	0.0816936766456606	0.896486820259793	0.0106709527919971
"mle_ulk_dmem/dko_hbss.Exp"	0.0392093324692158	0.0331352488894411	0.104049153908139	0.0978939697823066	0.98023082914395	0.00189565799622143	0.916564673523709	0.021502302637305	1.00961804234226	0.0155404334226605
"mle_ulk_hbss/dko_hbss.Exp"	0.201363962670495	0.0178602845552756	0.368435992052228	0.0241324306239599	0.960609677715545	0.00168525204239605	0.689960998501393	0.0147319107272075	1.11061677024693	0.0168245349819928
"mle_ulk_hbss/ulk_dmem.Exp"	0.214318921431892	0.0472640675098892	0.475318224153989	0.0550348935797258	0.985904131108564	0.0011264661680391	0.635511107094601	0.0353188276513333	1.19218146178471	0.0145013942143403
"rf_ulk_dmem/dko_hbss.Exp"	0.0543260564790707	0.052447677152206	0.0488013698630137	0.0457109752602087	0.985456347801459	0.00180360904454585	0.93996823302822	0.0171094031514931	0.74194876123599	0.0140560290308215
"rf_ulk_hbss/dko_hbss.Exp"	0.245609569865106	0.0320369844007827	0.158671586715867	0.0248973807529336	0.967707987540877	0.00370444678879506	0.779381636789417	0.0213687796983401	0.781278729779464	0.0178083537311814
"rf_ulk_hbss/ulk_dmem.Exp"	0.273634945397816	0.0749220791562577	0.277243092207389	0.0507815244880465	0.987475056256103	0.00213747875886394	0.718150693100762	0.0364362106740154	0.88868276560387	0.0122547157738697
