""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.0147101240265359	0.018183543518672	0.654949494949495	0.0234552327655757	0.974952088922959	0.000770149631221035	0.575403210512026	0.0173101387779547	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0.00807159150728198	0.00969076335654696	0.654462102689487	0.017650119334939	0.958835464359544	0.00117311604834089	0.572792666079294	0.0160660146595392	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0.0362659503022163	0.0490961665078911	0.666279069767442	0.0437327778942042	0.988833205814843	0.000605751329949271	0.563683877482421	0.033260170361036	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	23.1892614018203	4.36395637094528
"minmax_ulk_hbss/dko_hbss.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	34.1148460500808	11.1438357929782
"minmax_ulk_hbss/ulk_dmem.Exp"	0	0	0.995348837209302	0	0.98362662586075	0	0.0676387591176636	0	306.052903620082	236.59152735435
"gaussian_ulk_dmem/dko_hbss.Exp"	0.0667447306791569	0.03015452228852	0.919494949494949	0.0163502416282357	0.964890762744346	0.000566055472991745	0.268532438383749	0.0262294813828221	1.29621609099807	0.0829796917238266
"gaussian_ulk_hbss/dko_hbss.Exp"	0.175017642907551	0.0366950152161666	0.857090464547677	0.0300808813867139	0.944422326008728	0.00156019818102226	0.329516744850642	0.036626522006951	1.37153798895313	0.168835696188975
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.175257731958763	0.0699773325518656	0.776744186046512	0.0625294897835916	0.986442234123948	0.000666823462131051	0.424992832690921	0.0500132391683753	6.35636388724792	4.32431463449961
"knn_ulk_dmem/dko_hbss.Exp"	0.254783587434769	0.0630667007926203	0.264343434343434	0.0406387388643296	0.980425450364124	0.00294144458306102	0.730251770958234	0.031061828832995	0.926197926966422	0.0153065261945345
"knn_ulk_hbss/dko_hbss.Exp"	0.137915022057116	0.0434772165377969	0.319132029339853	0.03891513463636	0.973191179848404	0.00214397033259189	0.752680865714347	0.0187309044186435	0.933716277261594	0.0147004228824405
"knn_ulk_hbss/ulk_dmem.Exp"	0.336887534907337	0.141690771284461	0.392558139534884	0.158674306395045	0.988465952563122	0.00276822115857529	0.6288329820454	0.0830815612805618	1.012887590942	0.0160470265357005
"mle_ulk_dmem/dko_hbss.Exp"	0.044889129259059	0.0252848983160316	0.821616161616162	0.0262020320889344	0.96850517439632	0.000928684792900008	0.405548738007374	0.0296155721665758	NA	NA
"mle_ulk_hbss/dko_hbss.Exp"	0.108376608715286	0.021002695498426	0.75861858190709	0.0325730906773712	0.950650792435495	0.0016532475787475	0.449335033231711	0.0284882771161291	NA	NA
"mle_ulk_hbss/ulk_dmem.Exp"	0.169266770670827	0.0692026625165995	0.752325581395349	0.0599996204669522	0.986794185156848	0.000756770063574895	0.449422362295827	0.050648097683664	NA	NA
"rf_ulk_dmem/dko_hbss.Exp"	0.250860846668017	0.102667950901774	0.252828282828283	0.13218826691783	0.980912226906861	0.00279342966817765	0.738235044088339	0.0492551209763776	0.912376429914008	0.0184250963405609
"rf_ulk_hbss/dko_hbss.Exp"	0.221009549795362	0.102986406245299	0.301955990220049	0.130477807970374	0.9686853992803	0.00513431456187049	0.720930853290074	0.0498804681388118	0.934852459957935	0.0398993358613662
"rf_ulk_hbss/ulk_dmem.Exp"	0.526589498406308	0.0439196479633147	0.343720930232558	0.0373589402402159	0.982337413925019	0.00212008696591396	0.548801193178698	0.028368992735029	1.33430927089866	0.413461744659935
