""	"FDR"	"FDR_sd"	"FNR"	"FNR_sd"	"Accuracy"	"Accuracy_sd"	"MCC"	"MCC_sd"	"NRMSE"	"NRMSE_sd"
"without_ulk_dmem/dko_hbss.Exp"	0.00760193503800968	0.0177982563219397	0.51609098567818	0.030667254356401	0.983331532310352	0.00110671900326086	0.687004255772625	0.0217678173589203	NA	NA
"without_ulk_hbss/dko_hbss.Exp"	0.00810234541577825	0.010963392651519	0.510006319780914	0.0228842100639703	0.973705479821111	0.00107259778736829	0.68753186208331	0.0184922434948537	NA	NA
"without_ulk_hbss/ulk_dmem.Exp"	0.0319327731092437	0.0540249145877148	0.518796992481203	0.0806216966788591	0.99655216997802	0.000568449233632673	0.681265327551995	0.05717331568585	NA	NA
"minmax_ulk_dmem/dko_hbss.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	23.498218068833	5.24978908083473
"minmax_ulk_hbss/dko_hbss.Exp"	NA	NA	NA	NA	NA	NA	NA	NA	32.298453700378	12.3790015773046
"minmax_ulk_hbss/ulk_dmem.Exp"	1	0	1	0	0.993687716565043	0.000701705311548378	-0.000998819053039917	0.000149853276145938	394.540845054727	300.57253435886
"gaussian_ulk_dmem/dko_hbss.Exp"	0.0166666666666667	0.0101498403211835	0.502948609941028	0.0345659154962161	0.98360168575751	0.00122818963161785	0.693071942024593	0.0262397655320836	1.19609927383462	0.0899753317389568
"gaussian_ulk_hbss/dko_hbss.Exp"	0.0339420771075447	0.00917874801610301	0.448388455866863	0.0433662071539216	0.976070908992941	0.00238646705066008	0.720326728456587	0.0305745358843798	1.27098981539162	0.194593700875665
"gaussian_ulk_hbss/ulk_dmem.Exp"	0.270089285714286	0.133052620822793	0.726817042606516	0.11520778932788	0.994661250700341	0.00103779597957815	0.44456707987009	0.128141524489496	8.34981147675053	5.82749369624649
"knn_ulk_dmem/dko_hbss.Exp"	0.0691323885240235	0.0397443278300583	0.0925021061499579	0.040514315222958	0.994872487572941	0.00151996817620595	0.916466038038078	0.0242513147214056	0.852478705849029	0.0380277173709958
"knn_ulk_hbss/dko_hbss.Exp"	0.0662734584450402	0.0202106449159011	0.0828944596587318	0.02524942708785	0.992429549005873	0.00103641260389327	0.921395589425034	0.0113619330629233	0.880301324617761	0.0493741293977255
"knn_ulk_hbss/ulk_dmem.Exp"	0.210179076343073	0.110994490353988	0.299916457811195	0.124471024386563	0.996864629573762	0.000992229170680047	0.742041920874606	0.0670214876864486	1.01577820064494	0.0322295656418228
"mle_ulk_dmem/dko_hbss.Exp"	0.0164041994750656	0.0104634767624724	0.49486099410278	0.0300555567479894	0.983861033066782	0.00102241178844102	0.698879392107851	0.0198812892922789	1.18906395279374	0.102672827761092
"mle_ulk_hbss/dko_hbss.Exp"	0.0296655879180151	0.00758448658404399	0.431535706762166	0.0363480917661243	0.977035400614257	0.00188001260382967	0.733331937278487	0.023479824080069	1.2925764431266	0.254440122453843
"mle_ulk_hbss/ulk_dmem.Exp"	0.325102880658436	0.17050944395932	0.725981620718463	0.114716190581575	0.994467310261604	0.00116862016479822	0.427871312688488	0.132396099929966	8.3352332818072	5.8237221340868
"rf_ulk_dmem/dko_hbss.Exp"	0.0698466780238501	0.0132652848796852	0.080033698399326	0.0241497357217196	0.995218283985304	0.000631304971744027	0.92257714725463	0.010522621420207	0.847876385113542	0.0434414737197513
"rf_ulk_hbss/dko_hbss.Exp"	0.0875709025773709	0.016742387443055	0.0342321466189172	0.0076063438493551	0.9935071932755	0.000978316846830763	0.935337502274414	0.00962052291232406	0.875278350850958	0.0589360558078116
"rf_ulk_hbss/ulk_dmem.Exp"	0.194847020933977	0.0715397933769877	0.164578111946533	0.0580414218642155	0.997635004094298	0.000601782946106552	0.818959541931184	0.0378653871538571	2.01312417393122	1.42917049511049
